측정 시간,배치 순서,재생 딜레이(초),오디오 길이(초),배치 간 시간(초)
2025-11-18 01:50:06,1,0.0236,1.6800,1.8636
2025-11-18 01:50:09,2,1.1753,3.0400,2.8553
2025-11-18 01:50:11,3,-0.8835,1.8000,2.1565
2025-11-18 01:50:13,4,0.4843,2.1200,2.2843
2025-11-18 01:50:16,5,0.3307,2.6400,2.4507
2025-11-18 01:50:18,6,-0.3380,2.2800,2.3020
2025-11-18 01:50:21,7,0.3280,2.7600,2.6080
2025-11-18 01:50:23,8,-0.3458,2.5600,2.4142
2025-11-18 01:50:25,9,-0.8520,1.2000,1.7080
2025-11-18 01:50:27,10,1.4771,2.8800,2.6771
2025-11-18 01:50:29,11,-1.1782,1.2000,1.7018
2025-11-18 01:50:31,12,0.9604,2.1200,2.1604
2025-11-18 01:50:33,13,0.0867,2.2800,2.2067
2025-11-18 01:50:36,14,-0.2452,2.0000,2.0348
2025-11-18 01:50:38,15,0.3360,2.4800,2.3360
2025-11-18 01:50:40,16,-0.0151,2.4000,2.4649
2025-11-18 01:50:43,17,0.0200,2.4000,2.4200
2025-11-18 01:50:45,18,-0.2287,1.9200,2.1713
2025-11-18 01:50:47,19,0.1083,1.9200,2.0283
2025-11-18 01:50:49,20,0.4640,2.6400,2.3840
2025-11-18 01:50:51,21,-0.5857,1.8000,2.0543
2025-11-18 01:50:54,22,0.8200,2.8400,2.6200
2025-11-18 01:50:56,23,-0.5925,2.4800,2.2475
2025-11-18 01:50:58,24,-0.3184,2.1200,2.1616
2025-11-18 01:51:00,25,-0.4480,0.9600,1.6720
2025-11-18 01:51:02,26,0.9287,1.5200,1.8887
2025-11-18 01:51:04,27,0.7178,2.2400,2.2378
2025-11-18 01:51:06,28,-0.3168,1.8400,1.9232
2025-11-18 01:51:08,29,0.3516,2.1600,2.1916
2025-11-18 01:51:10,30,0.0113,2.1200,2.1713
2025-11-18 01:51:13,31,0.3264,2.8000,2.4464
2025-11-18 01:51:15,32,-0.4124,2.4000,2.3876
2025-11-18 01:51:17,33,-0.3480,1.9200,2.0520
2025-11-18 01:51:19,34,0.1889,2.1200,2.1089
2025-11-18 01:51:22,35,0.0160,2.1200,2.1360
2025-11-18 01:51:24,36,0.0840,2.2400,2.2040
2025-11-18 01:51:26,37,0.1231,2.4400,2.3631
