측정 시간,배치 ID,Worker,재생 딜레이(초),오디오 길이(초),생성 시간(초),RTF
2025-11-23 10:05:28,1,A,0.0000,1.5600,11.9412,7.6546
2025-11-23 10:05:33,2,B,3.3714,5.7600,16.3321,2.8354
2025-11-23 10:05:44,4,B,6.3275,5.6400,12.0765,2.1412
2025-11-23 10:05:53,3,A,3.8154,13.9200,26.3830,1.8953
2025-11-23 10:06:00,6,B,-6.8539,8.2400,16.5148,2.0042
2025-11-23 10:06:09,5,A,0.7848,8.2400,16.0749,1.9508
2025-11-23 10:06:25,8,B,9.2230,13.2800,26.4793,1.9939
2025-11-23 10:06:28,7,A,-9.7198,10.5200,21.0150,1.9976
2025-11-23 10:06:37,10,B,-2.1989,6.1200,11.8706,1.9396
2025-11-23 10:06:40,9,A,-0.9059,6.5200,13.5264,2.0746
2025-11-23 10:06:52,12,B,5.1647,8.7200,16.8920,1.9372
2025-11-23 10:06:58,11,A,-2.9361,9.0800,17.4615,1.9231
2025-11-23 10:06:58,14,B,-8.3690,2.5600,6.4868,2.5339
2025-11-23 10:07:04,13,A,3.4565,3.0000,6.7175,2.2392
2025-11-23 10:07:04,16,B,-2.9340,2.3600,6.0776,2.5752
2025-11-23 10:07:07,15,A,1.7815,1.3200,4.2025,3.1837
2025-11-23 10:07:12,17,A,4.2941,2.1600,5.6105,2.5974
2025-11-23 10:07:18,18,B,2.9437,7.8800,14.8536,1.8850
2025-11-23 10:07:26,19,A,0.1512,6.3600,13.1304,2.0645
2025-11-23 10:07:35,20,B,4.9806,9.7600,19.3612,1.9837
2025-11-23 10:07:40,21,A,-5.1811,7.2400,15.9118,2.1978
2025-11-23 10:07:48,22,B,0.5568,6.1200,12.3663,2.0206
2025-11-23 10:07:49,23,A,-4.4935,4.2400,9.4160,2.2208
2025-11-23 10:08:07,24,B,16.4480,11.4000,22.3068,1.9567
2025-11-23 10:08:16,25,A,-2.6113,15.1600,29.4690,1.9439
2025-11-23 10:08:29,26,B,-2.2688,11.0800,21.6671,1.9555
2025-11-23 10:08:38,27,A,-0.9989,11.4800,22.9445,1.9986
2025-11-23 10:08:44,29,A,-6.0015,1.9200,5.4681,2.8480
2025-11-23 10:09:00,28,B,15.9870,16.8400,33.4541,1.9866
2025-11-23 10:09:00,31,A,-16.1914,8.2800,18.5507,2.2404
2025-11-23 10:09:22,30,B,13.4107,11.0400,22.3228,2.0220
2025-11-23 10:09:28,33,A,-2.9736,14.7200,29.7486,2.0210
2025-11-23 10:09:29,32,B,-14.0274,3.9200,8.7480,2.2316
2025-11-23 10:09:38,34,B,5.7046,4.4000,9.6184,2.1860
2025-11-23 10:09:49,36,B,6.2231,4.9600,10.6158,2.1403
2025-11-23 10:09:51,35,A,-3.3957,11.9600,22.4894,1.8804
2025-11-23 10:10:06,37,A,5.0885,8.0400,17.0380,2.1192
2025-11-23 10:10:13,38,B,-0.7151,13.0800,25.9308,1.9825
2025-11-23 10:10:18,39,A,-8.1325,6.1200,12.2623,2.0036
2025-11-23 10:10:22,40,B,-2.3174,3.6800,8.7372,2.3742
2025-11-23 10:10:42,42,B,17.7106,10.0800,21.3845,2.1215
2025-11-23 10:10:42,41,A,-9.3714,12.7600,25.8956,2.0294
2025-11-23 10:11:00,43,A,7.2158,9.9600,19.9655,2.0046
2025-11-23 10:11:03,44,B,-6.9416,12.4400,23.6941,1.9047
2025-11-23 10:11:11,45,A,-3.9330,17.2000,11.5153,0.6695
