BatchID,Worker,Request_Start_Time(Epoch),Gen_End_Time(Epoch),Audio_Duration(Sec),Inference_Time(Sec),RTF
1,A,1763893033.4403,1763893041.5353,1.4800,8.0950,5.4696
2,B,1763893033.9770,1763893045.7826,5.4800,13.6216,2.4857
4,B,1763893045.7910,1763893058.7862,5.9200,12.9952,2.1951
3,A,1763893041.5549,1763893069.8978,15.2400,30.1590,1.9789
6,B,1763893058.7945,1763893074.6595,7.8800,15.8650,2.0133
5,A,1763893069.9102,1763893085.5010,8.6400,17.4314,2.0175
8,B,1763893074.6670,1763893097.1435,12.2400,24.3171,1.9867
7,A,1763893085.5106,1763893104.9776,10.9600,21.2779,1.9414
10,B,1763893097.1592,1763893108.4236,6.2800,13.0753,2.0821
9,A,1763893104.9892,1763893119.2625,6.4800,14.2733,2.2027
12,B,1763893108.4304,1763893127.5311,9.6400,19.1007,1.9814
14,B,1763893127.5402,1763893132.4122,2.6000,6.7050,2.5788
11,A,1763893119.2694,1763893133.6592,8.4400,16.2228,1.9221
16,B,1763893132.4164,1763893138.0556,2.5600,5.6391,2.2028
13,A,1763893133.6680,1763893141.1507,3.1200,7.4828,2.3983
15,A,1763893141.1556,1763893146.7598,2.0400,5.6042,2.7472
17,A,1763893146.7638,1763893152.4663,2.1600,5.7025,2.6400
18,B,1763893138.0600,1763893152.9558,7.8000,14.8958,1.9097
19,A,1763893152.4700,1763893163.9829,6.7600,13.3561,1.9758
20,B,1763893152.9644,1763893170.4455,10.2800,19.3244,1.8798
21,A,1763893163.9895,1763893177.1476,6.7200,13.1582,1.9581
22,B,1763893170.4562,1763893182.2498,5.8800,11.7936,2.0057
23,A,1763893177.1547,1763893185.7932,4.0400,8.6385,2.1382
24,B,1763893182.2560,1763893200.7732,10.5200,20.3250,1.9320
25,A,1763893185.7982,1763893211.0661,14.4400,27.0757,1.8751
26,B,1763893200.7815,1763893218.2603,10.3600,19.3240,1.8653
27,A,1763893211.0775,1763893229.8181,11.0800,20.5857,1.8579
29,A,1763893229.8276,1763893236.6356,2.4800,6.8080,2.7452
28,B,1763893218.2689,1763893249.9147,19.0000,33.4119,1.7585
31,A,1763893236.6400,1763893250.5085,7.6000,15.6345,2.0572
30,B,1763893249.9302,1763893270.2750,11.0800,20.3448,1.8362
33,A,1763893250.5162,1763893274.5563,14.5200,26.7681,1.8435
32,B,1763893270.2835,1763893275.3793,3.5600,7.8238,2.1977
34,B,1763893275.3848,1763893285.4386,4.3600,10.0538,2.3059
35,A,1763893274.5671,1763893296.3278,11.3200,21.7607,1.9223
36,B,1763893285.4446,1763893296.6425,5.0000,11.1979,2.2396
37,A,1763893296.3375,1763893309.7863,7.6800,14.5150,1.8900
38,B,1763893296.6488,1763893321.0517,13.4800,25.4691,1.8894
39,A,1763893309.7950,1763893323.1550,6.7600,13.3600,1.9763
40,B,1763893321.0621,1763893327.3350,3.7600,8.1461,2.1665
41,A,1763893323.1617,1763893343.6343,12.3200,22.3459,1.8138
42,B,1763893327.3401,1763893345.8300,10.0400,18.4899,1.8416
43,A,1763893343.6434,1763893361.2494,10.0400,19.4251,1.9348
44,B,1763893345.8414,1763893366.4740,12.0400,22.4518,1.8648
45,A,1763893361.2577,1763893373.6600,16.4000,12.4023,0.7562
